Status,Severity,CWE,Description,Tool Category,Tool Name,Rule Name
escalated,high,937,"Versions of `https-proxy-agent` prior to 2.2.3 are vulnerable to Machine-In-The-Middle. The package fails to enforce TLS on the socket if the proxy server responds the to the request with a HTTP status different than 200. This allows an attacker with access to the proxy server to intercept unencrypted communications, which may include sensitive information such as credentials.",,Dependency-Check,Using Components with Known Vulnerabilities
escalated,critical,937,"Versions of `open` before 6.0.0 are vulnerable to command injection when unsanitized user input is passed in.

The package does come with the following warning in the readme:

```
The same care should be taken when calling open as if you were calling child_process.exec directly. If it is an executable it will run in a new shell.
```",,Dependency-Check,Using Components with Known Vulnerabilities
escalated,medium,937,,,,Using Components with Known Vulnerabilities
escalated,high,937,,,,Using Components with Known Vulnerabilities
escalated,high,937,Versions of `cryptiles` prior to 4.1.2 are vulnerable to Insufficient Entropy. The `randomDigits()` method does not provide sufficient entropy and its generates digits that are not evenly distributed.,,Dependency-Check,Using Components with Known Vulnerabilities
escalated,critical,937,,,,Using Components with Known Vulnerabilities
escalated,critical,937,,,,Using Components with Known Vulnerabilities
escalated,high,937,Versions of `fstream` prior to 1.0.12 are vulnerable to Arbitrary File Overwrite. Extracting tarballs containing a hardlink to a file that already exists in the system and a file that matches the hardlink will overwrite the system's file with the contents of the extracted file. The `fstream.DirWriter()` function is vulnerable.,,Dependency-Check,Using Components with Known Vulnerabilities
escalated,high,937,Stack-based buffer overflow in the is_git_directory function in setup.c in Git before 1.7.2.1 allows local users to gain privileges via a long gitdir: field in a .git file in a working copy.,,Dependency-Check,Using Components with Known Vulnerabilities
escalated,high,937,"Versions of `tar` prior to 4.4.2 for 4.x and 2.2.2 for 2.x are vulnerable to Arbitrary File Overwrite. Extracting tarballs containing a hardlink to a file that already exists in the system, and a file that matches the hardlink will overwrite the system's file with the contents of the extracted file.",,Dependency-Check,Using Components with Known Vulnerabilities
escalated,medium,399,A method of an IDisposable type does not throw System.ObjectDisposedException. Throw ObjectDisposedException if the object has been disposed.,,Gendarme,Resource Management
escalated,medium,399,A method of an IDisposable type does not throw System.ObjectDisposedException. Throw ObjectDisposedException if the object has been disposed.,,Gendarme,Resource Management
escalated,medium,399,A method of an IDisposable type does not throw System.ObjectDisposedException. Throw ObjectDisposedException if the object has been disposed.,,Gendarme,Resource Management
escalated,high,22,Found fs.unlinkSync with non literal argument at index 0,security,ESLint,Path Traversal
false-positive,medium,665,'require' is not defined.,,ESLint,Initialization
false-positive,medium,665,'require' is not defined.,,ESLint,Initialization
escalated,high,22,Found fs.readFileSync with non literal argument at index 0,security,ESLint,Path Traversal
false-positive,medium,665,'require' is not defined.,,ESLint,Initialization
false-positive,medium,665,'require' is not defined.,,ESLint,Initialization
false-positive,medium,665,'require' is not defined.,,ESLint,Initialization
false-positive,medium,665,'module' is not defined.,,ESLint,Initialization
false-positive,medium,665,'process' is not defined.,,ESLint,Initialization
false-positive,medium,665,'require' is not defined.,,ESLint,Initialization
escalated,high,22,"Found fs.symlinkSync with non literal argument at index 0,1",security,ESLint,Path Traversal
escalated,high,79,HTML passed in to function 'options.usage',xss,ESLint,Cross-site Scripting (XSS)
escalated,high,22,Found fs.existsSync with non literal argument at index 0,security,ESLint,Path Traversal
escalated,medium,399,This disposable local is not guaranteed to be disposed of before the method returns. Use a 'using' statement or surround the local's usage with a try/finally block. Local of type 'Task' is not disposed of (at least not locally).,,Gendarme,Resource Management
escalated,medium,399,A method of an IDisposable type does not throw System.ObjectDisposedException. Throw ObjectDisposedException if the object has been disposed.,,Gendarme,Resource Management
escalated,medium,399,A method of an IDisposable type does not throw System.ObjectDisposedException. Throw ObjectDisposedException if the object has been disposed.,,Gendarme,Resource Management
escalated,high,227,This type or method is decorated with [SuppressUnmanagedCodeSecurity] which reduce the number of security checks done when unmanaged code is called. Ensure that use of this attribute does not compromise the security of the application.,,Gendarme,API Abuse
false-positive,medium,665,'require' is not defined.,,ESLint,Initialization
false-positive,medium,665,'require' is not defined.,,ESLint,Initialization
escalated,high,22,Found fs.readFileSync with non literal argument at index 0,security,ESLint,Path Traversal
false-positive,medium,665,'require' is not defined.,,ESLint,Initialization
false-positive,medium,665,'require' is not defined.,,ESLint,Initialization
false-positive,medium,665,'process' is not defined.,,ESLint,Initialization
false-positive,medium,665,'require' is not defined.,,ESLint,Initialization
false-positive,medium,665,'require' is not defined.,,ESLint,Initialization
false-positive,medium,665,'process' is not defined.,,ESLint,Initialization
false-positive,medium,665,'require' is not defined.,,ESLint,Initialization
false-positive,medium,665,'require' is not defined.,,ESLint,Initialization
escalated,high,79,HTML passed in to function 'options.usage',xss,ESLint,Cross-site Scripting (XSS)
false-positive,medium,665,'process' is not defined.,,ESLint,Initialization
false-positive,medium,665,'require' is not defined.,,ESLint,Initialization
false-positive,medium,665,'process' is not defined.,,ESLint,Initialization
false-positive,medium,665,'module' is not defined.,,ESLint,Initialization
escalated,high,697,,,,Comparison
false-positive,medium,665,'require' is not defined.,,ESLint,Initialization
false-positive,high,77,Generic Object Injection Sink,security,ESLint,Command Injection
