Status,Severity,CWE,Description,Tool Category,Tool Name,Rule Name,
escalated,medium,937,,,,Using Components with Known Vulnerabilities,
escalated,low,937,"Affected versions of `minimist` are vulnerable to prototype pollution. Arguments are not properly sanitized, allowing an attacker to modify the prototype of `Object`, causing the addition or modification of an existing property that will exist on all objects.  
Parsing the argument `--__proto__.y=Polluted` adds a `y` property with value `Polluted` to all objects. The argument `--__proto__=Polluted` raises and uncaught error and crashes the application.  
This is exploitable if attackers have control over the arguments being passed to `minimist`.",,Dependency-Check,Using Components with Known Vulnerabilities,
escalated,medium,937,,,,Using Components with Known Vulnerabilities,
escalated,info,,Missing '()' invoking a constructor.,,JSHint,Missing '()' invoking constructor,
escalated,high,77,,,,Command Injection,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,high,77,,,,Command Injection,
escalated,low,398,'h' is already defined.,,ESLint,Disallow variable redeclaration,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,info,,Expected a conditional expression and instead saw an assignment.,,JSHint,Expected conditional expression and saw an assignment,
false-positive,info,,,,,Function already defined,
escalated,high,77,,,,Command Injection,
false-positive,info,,'a' is already defined.,,JSHint,Function already defined,
escalated,high,77,,,,Command Injection,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,high,77,,,,Command Injection,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,low,561,,,,Dead Code,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,low,561,,,,Dead Code,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
false-positive,info,,'a' is already defined.,,JSHint,Function already defined,
escalated,high,77,,,,Command Injection,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
false-positive,info,398,Avoid using global variables.,Best Practices,PMD,Undeclared variables are global by default,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,high,77,,,,Command Injection,
false-positive,info,398,,,,Undeclared variables are global by default,
escalated,high,77,,,,Command Injection,
escalated,info,,,,,Not defined,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,high,77,,,,Command Injection,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
false-positive,info,,'b' is already defined.,,JSHint,Function already defined,
escalated,high,77,,,,Command Injection,
escalated,low,398,,,,Disallow variable redeclaration,
escalated,low,398,,,,Disallow variable redeclaration,
escalated,info,,,,,Not defined,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,info,,"If a strict mode function is executed using function invocation, its 'this' value will be undefined.",,JSHint,Possible strict violation,
false-positive,info,,,,,Function already defined,
escalated,info,,,,,Possible strict violation,
escalated,low,398,,,,Disallow variable redeclaration,
escalated,low,398,,,,Disallow variable redeclaration,
escalated,high,77,,,,Command Injection,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,info,,,,,Possible strict violation,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,info,,,,,Not defined,
escalated,medium,665,,,,Initialization,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,high,77,,,,Command Injection,
escalated,low,398,,,,Disallow variable redeclaration,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,low,398,,,,Disallow unnecessary escape usage,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,"If a strict mode function is executed using function invocation, its 'this' value will be undefined.",,JSHint,Possible strict violation,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,high,77,,,,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,high,697,,,,Comparison,
escalated,high,77,,,,Command Injection,
false-positive,info,,'d' used out of scope.,,JSHint,Use out of scope,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
false-positive,info,,,,,Function already defined,
escalated,high,77,Generic Object Injection Sink,security,ESLint,Command Injection,
escalated,high,77,,,,Command Injection,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
escalated,info,,,,,Expected an assignment or function call and saw an expression,
false-positive,info,,"Use the function form of ""use strict"".",,JSHint,Use function form of 'use strict',
escalated,high,,,,,Call addEventListener,
escalated,high,77,,,,Command Injection,
escalated,info,,,,,Missing '()' invoking constructor,
escalated,info,,,,,Possible strict violation,
escalated,low,561,,,,Dead Code,
escalated,info,,Expected an assignment or function call and instead saw an expression.,,JSHint,Expected an assignment or function call and saw an expression,
